ms,l,r
77,1,0
106806,6,5
214477,10,10
318929,16,17
423648,22,25
530442,30,34
637969,40,46
743636,52,61
849467,64,77
956266,78,95
1061995,93,113
1169002,109,132
1277295,128,152
1384037,148,174
1490855,167,195
1597657,189,217
1703316,210,238
1811870,231,261
1917686,253,285
2023380,274,309
2130192,296,335
2238678,317,361
2345507,342,383
2451298,366,408
2558010,390,434
2663696,412,460
2769516,431,489
2878018,458,517
2983715,484,546
3089546,511,573
3196332,537,600
3302060,565,628
3408964,593,657
3518438,623,686
3624122,654,714
3730905,684,743
3837669,714,773
3943345,744,804
4050891,773,834
4157776,805,863
4263454,836,893
4371239,870,922
4478764,904,949
4585914,938,976
4691320,972,1003
4798081,1006,1031
4903765,1040,1059
5009573,1071,1089
5118099,1085,1096
5223794,1086,1097
5329598,1089,1097
5436423,1091,1097
5543088,1094,1098
5651238,1100,1104
5758466,1108,1108
5865909,1116,1110
5970973,1126,1116
6079457,1138,1121
6186049,1153,1128
6293071,1170,1136
6398802,1188,1143
6503480,1208,1151
6609293,1228,1160
6715574,1246,1171
6819668,1264,1182
6925223,1284,1192
7031240,1306,1203
7138060,1328,1214
7242731,1351,1224
7348526,1376,1234
7451835,1400,1245
7560095,1424,1256
7666596,1450,1267
7771513,1476,1278
7878401,1505,1291
7984070,1533,1304
8090863,1562,1317
8199469,1591,1330
8305922,1621,1344
8411899,1650,1358
8518700,1679,1371
8627068,1710,1385
8733854,1739,1398
8840057,1769,1412
8946804,1800,1427
9053262,1832,1441
9159005,1862,1455
9266905,1892,1469
9374439,1919,1484
9479777,1946,1500
9586823,1976,1517
9694697,2006,1533
9800157,2036,1547
9906665,2067,1561
