ms,l,r
80,-1,1
105515,1,8
210357,5,11
318197,10,15
424999,17,20
529708,25,26
636308,35,35
744858,49,46
850768,65,58
956540,81,70
1063219,100,84
1172828,119,98
1277520,139,116
1403532,165,135
1510322,186,154
1618631,207,174
1725558,229,196
1831349,250,220
1938151,271,244
2044881,293,269
2149675,314,293
2258154,339,316
2365100,366,338
2470736,391,362
2577496,419,387
2683176,446,414
2792755,471,443
2897500,492,473
3003251,516,502
3110062,541,531
3216813,567,562
3321520,593,593
3429314,620,624
3536862,648,653
3642521,676,682
3750635,704,713
3858909,732,746
3965443,761,778
4070360,789,809
4177230,818,841
4282904,848,874
4389721,878,906
4496394,907,938
4602188,938,967
4710771,970,997
4817548,999,1029
4923243,1029,1062
5030038,1060,1095
5138654,1090,1128
5245023,1120,1160
5351129,1149,1193
5459690,1180,1225
5567247,1212,1254
5675936,1246,1282
5781719,1280,1310
5887398,1313,1340
5990447,1343,1371
6096370,1374,1404
6202294,1404,1437
6310438,1436,1472
6416216,1469,1503
6520205,1503,1532
6627822,1538,1560
6730728,1572,1588
6837224,1607,1617
6943201,1641,1648
7050732,1673,1680
7157559,1704,1714
7263249,1735,1748
7370068,1768,1780
7478578,1803,1811
7585365,1838,1841
7691600,1874,1871
7797887,1910,1900
7903574,1943,1931
8009407,1975,1961
8117924,2007,1995
8223623,2040,2028
8329442,2073,2058
8436242,2107,2088
8541909,2143,2119
8653096,2180,2150
8759283,2216,2180
8867907,2253,2210
8974409,2287,2242
9080298,2320,2274
9187922,2353,2306
9295630,2386,2337
9402362,2421,2368
9510176,2457,2401
9617717,2492,2432
9723390,2526,2463
9831257,2562,2495
9938053,2596,2527
10044003,2619,2557
10151185,2600,2584
10257983,2551,2610
10363949,2501,2650
10469470,2459,2706
10576237,2415,2762
10682955,2361,2812
10790506,2302,2861
10896266,2248,2916
11003010,2195,2978
11108781,2136,3037
11214747,2074,3092
11321272,2013,3151
11427340,1955,3214
11536750,1894,3276
11642351,1849,3315
11748223,1855,3310
11854221,1856,3309
11959650,1857,3309
12065644,1857,3309
12172279,1857,3309
12277936,1857,3309
12383931,1857,3309
12493103,1857,3309
12599001,1857,3309
12704370,1857,3309
12809406,1857,3309
12916714,1857,3309
13023069,1857,3309
13128741,1857,3309
13234879,1857,3309
13344723,1857,3309
13450902,1857,3309
13556612,1857,3309
13662294,1857,3309
13768067,1857,3309
13873456,1857,3309
13978597,1857,3309
14084397,1857,3309
14190092,1857,3309
14295919,1857,3309
14401664,1857,3309
14507353,1857,3309
14613496,1857,3309
14718900,1857,3309
14824361,1857,3309
14933886,1857,3309
15039951,1857,3309
15147293,1857,3309
15254177,1858,3316
15360318,1862,3319
15468876,1868,3323
15576319,1874,3328
15682290,1883,3334
15789876,1894,3342
15897673,1905,3351
16006355,1919,3362
16113159,1934,3374
16219772,1949,3387
16329308,1965,3404
16436334,1979,3422
16542771,1996,3443
16651307,2007,3466
16758124,2026,3487
16864890,2049,3508
16970646,2072,3529
17079146,2097,3551
17188374,2122,3572
17294456,2148,3594
17401240,2173,3615
17508248,2199,3638
17616536,2225,3664
17723260,2249,3690
17840078,2274,3720
17948250,2299,3748
18055316,2324,3777
18160734,2348,3807
18268260,2375,3837
18377090,2404,3864
18484814,2436,3889
18590610,2466,3916
18699138,2494,3946
18806064,2521,3977
18912804,2548,4009
19018408,2575,4040
19127302,2603,4072
19234150,2632,4105
19342252,2663,4134
19449066,2695,4162
19556316,2728,4192
19661522,2760,4221
19768132,2791,4252
19875826,2820,4284
19981596,2849,4316
20089388,2878,4350
20197898,2908,4384
20303632,2939,4417
20409404,2971,4448
20516232,3006,4479
20623018,3040,4510
20731432,3068,4542
20838274,3097,4574
20945128,3127,4607
21054092,3157,4641
21160278,3188,4674
21267912,3220,4707
21375608,3254,4738
21482348,3289,4768
21590174,3325,4799
21697680,3361,4829
21803384,3396,4859
21910240,3429,4890
22017002,3461,4924
22122684,3492,4956
22229490,3524,4991
22338072,3558,5022
22444766,3593,5053
22550564,3629,5083
22659028,3665,5116
22766694,3698,5148
22873176,3730,5182
22978390,3758,5216
23085132,3786,5250
23190904,3818,5283
23299406,3852,5315
23406084,3887,5346
23514820,3922,5378
23620434,3956,5411
23728288,3986,5445
23836792,4017,5480
23942506,4047,5515
24067526,4083,5557
24175258,4114,5594
24282042,4146,5630
24390648,4178,5662
24497412,4209,5698
24603096,4240,5732
24712758,4271,5766
24818468,4302,5800
24925112,4332,5834
25030948,4363,5868
25139530,4395,5903
