time,l speed,r speed,l error,l effort,r error,r effort
51,6.317934,6.317934,93.68207,0.1414599,93.68207,0.1414599
103,43.37505,37.17861,56.62495,0.1338478,62.82139,0.1432664
154,113.7228,82.13315,-13.72282,0.05650138,17.86685,0.1074239
205,151.6304,120.0408,-51.63042,-0.007737741,-20.04076,0.05929552
256,164.2663,151.6304,-64.2663,-0.05314943,-51.63042,0.001374349
307,189.538,183.2201,-89.53802,-0.1240856,-83.22009,-0.07265758
358,202.1739,202.1739,-102.1739,-0.1888301,-102.1739,-0.1437201
409,221.1277,214.8098,-121.1277,-0.269559,-114.8098,-0.2149089
460,233.7636,227.4456,-133.7636,-0.3504143,-127.4456,-0.292542
511,233.7636,233.7636,-133.7636,-0.4186337,-133.7636,-0.3670794
562,240.0815,246.3994,-140.0815,-0.4963933,-146.3994,-0.4543789
613,227.4456,252.7174,-127.4456,-0.5487546,-152.7174,-0.5385828
664,233.7636,265.3532,-133.7636,-0.623292,-165.3532,-0.6355488
715,240.0815,271.6712,-140.0815,-0.7010515,-171.6712,-0.729419
766,233.7636,277.9891,-133.7636,-0.7629529,-177.9891,-0.8265114
817,246.3994,277.9891,-146.3994,-0.8502525,-177.9891,-0.9172858
868,240.0815,271.6712,-140.0815,-0.9153761,-171.6712,-0.9985203
919,246.3994,284.307,-146.3994,-0.9963577,-184.307,-1.105153
970,240.0815,271.6712,-140.0815,-1.061481,-171.6712,-1.180069
1021,240.0815,277.9891,-140.0815,-1.132923,-177.9891,-1.277162
1072,240.0815,277.9891,-140.0815,-1.204365,-177.9891,-1.367936
1123,252.7174,271.6712,-152.7174,-1.294886,-171.6712,-1.44917
1175,254.0538,266.4467,-154.0538,-1.376331,-166.4467,-1.530498
1226,259.0353,259.0353,-159.0353,-1.46242,-159.0353,-1.604195
1277,252.7174,265.3532,-152.7174,-1.533988,-165.3532,-1.694843
1328,240.0815,271.6712,-140.0815,-1.592794,-171.6712,-1.788713
1379,246.3994,271.6712,-146.3994,-1.673775,-171.6712,-1.876265
1430,240.0815,271.6712,-140.0815,-1.738899,-171.6712,-1.963818
1481,246.3994,265.3532,-146.3994,-1.819881,-165.3532,-2.04183
1532,259.0353,259.0353,-159.0353,-1.913625,-159.0353,-2.11662
1583,259.0353,246.3994,-159.0353,-1.994732,-146.3994,-2.178648
1634,259.0353,252.7174,-159.0353,-2.07584,-152.7174,-2.262851
1685,252.7174,259.0353,-152.7174,-2.147408,-159.0353,-2.350277
1736,252.7174,252.7174,-152.7174,-2.225294,-152.7174,-2.421845
1787,240.0815,259.0353,-140.0815,-2.2841,-159.0353,-2.509271
1838,252.7174,246.3994,-152.7174,-2.374622,-146.3994,-2.571299
1890,247.8574,247.8574,-147.8574,-2.446647,-147.8574,-2.649643
1941,259.0353,240.0815,-159.0353,-2.538933,-140.0815,-2.713309
1992,252.7174,233.7636,-152.7174,-2.610501,-133.7636,-2.77521
2043,246.3994,246.3994,-146.3994,-2.678847,-146.3994,-2.86251
2094,240.0815,246.3994,-140.0815,-2.74397,-146.3994,-2.937173
2145,227.4456,252.7174,-127.4456,-2.796332,-152.7174,-3.021377
2196,233.7636,252.7174,-133.7636,-2.870869,-152.7174,-3.099263
2247,240.0815,246.3994,-140.0815,-2.948629,-146.3994,-3.167608
2298,227.4456,240.0815,-127.4456,-3.00099,-140.0815,-3.232732
2349,227.4456,246.3994,-127.4456,-3.065988,-146.3994,-3.313714
2400,221.1277,252.7174,-121.1277,-3.121445,-152.7174,-3.397918
2451,214.8098,246.3994,-114.8098,-3.17368,-146.3994,-3.466263
2502,221.1277,259.0353,-121.1277,-3.241773,-159.0353,-3.560007
2553,202.1739,252.7174,-102.1739,-3.274928,-152.7174,-3.631575
2605,216.8752,260.2503,-116.8752,-3.350404,-160.2503,-3.722438
2656,208.4918,246.3994,-108.4918,-3.397352,-146.3994,-3.783251
2707,214.8098,240.0815,-114.8098,-3.462222,-140.0815,-3.848374
2758,214.8098,246.3994,-114.8098,-3.520775,-146.3994,-3.929356
2809,202.1739,233.7636,-102.1739,-3.560248,-133.7636,-3.98494
2860,202.1739,246.3994,-102.1739,-3.612357,-146.3994,-4.072239
2911,195.856,233.7636,-95.85597,-3.654925,-133.7636,-4.127823
2963,204.4824,247.8574,-104.4824,-3.717883,-147.8574,-4.218802
3014,202.1739,227.4456,-102.1739,-3.767683,-127.4456,-4.263388
3065,208.4918,240.0815,-108.4918,-3.829332,-140.0815,-4.347466
3116,214.8098,221.1277,-114.8098,-3.894202,-121.1277,-4.390287
3167,221.1277,221.1277,-121.1277,-3.962296,-121.1277,-4.452062
3218,221.1277,227.4456,-121.1277,-4.024071,-127.4456,-4.523377
3269,214.8098,233.7636,-114.8098,-4.076306,-133.7636,-4.597915
3321,216.8752,241.661,-116.8752,-4.139146,-141.661,-4.679476
3372,214.8098,240.0815,-114.8098,-4.195634,-140.0815,-4.749338
3423,214.8098,246.3994,-114.8098,-4.254187,-146.3994,-4.830319
3474,221.1277,233.7636,-121.1277,-4.322279,-133.7636,-4.885903
3525,227.4456,233.7636,-127.4456,-4.393595,-133.7636,-4.954122
3576,227.4456,227.4456,-127.4456,-4.458592,-127.4456,-5.012802
3627,227.4456,233.7636,-127.4456,-4.52359,-133.7636,-5.087339
3679,229.2681,241.661,-129.2681,-4.592631,-141.661,-5.1689
3730,214.8098,246.3994,-114.8098,-4.636726,-146.3994,-5.248302
3781,221.1277,259.0353,-121.1277,-4.704819,-159.0353,-5.342045
3832,214.8098,252.7174,-114.8098,-4.757054,-152.7174,-5.413613
