time,l speed,r speed,l error,l effort,r error,r effort
51,-6.317934,0.0,106.3179,0.1605401,100.0,0.151
103,6.196435,6.196435,93.80357,0.1968036,93.80357,0.1935814
154,31.58967,12.63587,68.41032,0.2062996,87.36414,0.2316977
205,50.54347,44.22554,49.45653,0.2125686,55.77446,0.228553
256,75.81521,75.81521,24.18479,0.1996311,24.18479,0.2092976
307,82.13315,82.13315,17.86685,0.2024253,17.86685,0.2120917
358,88.45108,94.76901,11.54892,0.2019973,5.230988,0.2021237
409,101.0869,101.0869,-1.086945,0.1888071,-1.086945,0.1952514
460,101.0869,94.76901,-1.086945,0.1882528,5.230988,0.2042372
511,88.45108,94.76901,11.54892,0.2067786,5.230988,0.2069049
562,101.0869,101.0869,-1.086945,0.1935884,-1.086945,0.2000327
613,94.76901,94.76901,5.230988,0.2025742,5.230988,0.2090184
664,101.0869,94.76901,-1.086945,0.1957019,5.230988,0.2116862
715,94.76901,101.0869,5.230988,0.2046876,-1.086945,0.204814
766,94.76901,94.76901,5.230988,0.2073554,5.230988,0.2137997
817,101.0869,94.76901,-1.086945,0.2004832,5.230988,0.2164675
868,94.76901,101.0869,5.230988,0.2094689,-1.086945,0.2095953
919,94.76901,101.0869,5.230988,0.2121367,-1.086945,0.2090409
970,94.76901,101.0869,5.230988,0.2148045,-1.086945,0.2084866
1021,101.0869,101.0869,-1.086945,0.2079323,-1.086945,0.2079323
1072,101.0869,107.4049,-1.086945,0.2073779,-7.404877,0.1978378
1123,94.76901,107.4049,5.230988,0.2163637,-7.404877,0.1940613
1174,107.4049,101.0869,-7.404877,0.1999513,-1.086945,0.1998249
1225,107.4049,94.76901,-7.404877,0.1961748,5.230988,0.2088107
1276,101.0869,107.4049,-1.086945,0.2019384,-7.404877,0.1923983
1327,101.0869,94.76901,-1.086945,0.2013841,5.230988,0.207702
1378,107.4049,101.0869,-7.404877,0.1912897,-1.086945,0.2008297
1429,101.0869,94.76901,-1.086945,0.1970533,5.230988,0.2098155
1480,101.0869,94.76901,-1.086945,0.1964989,5.230988,0.2124833
1531,94.76901,101.0869,5.230988,0.2054847,-1.086945,0.205611
1582,94.76901,94.76901,5.230988,0.2081525,5.230988,0.2145968
