time,l speed,r speed,l error,l effort,r error,r effort
51,6.317934,0.0,93.68207,0.3766019,100.0,0.402
102,37.9076,37.9076,62.0924,0.3451671,62.0924,0.3516114
153,132.6766,126.3587,-32.67662,0.02752993,-26.35869,0.05937231
204,176.9022,183.2201,-76.90216,-0.1835869,-83.22009,-0.1960964
255,227.4456,227.4456,-127.4456,-0.4652119,-127.4456,-0.4587676
306,240.0815,252.7174,-140.0815,-0.6460027,-152.7174,-0.6903545
357,271.6712,271.6712,-171.6712,-0.9158762,-171.6712,-0.9223205
408,271.6712,290.625,-171.6712,-1.090981,-190.625,-1.173619
459,284.307,303.2608,-184.307,-1.316882,-203.2608,-1.418853
510,296.9429,303.2608,-196.9429,-1.555671,-203.2608,-1.626179
561,290.625,309.5788,-190.625,-1.731155,-209.5788,-1.858903
612,303.2608,315.8967,-203.2608,-1.976388,-215.8967,-2.098072
663,296.9429,315.8967,-196.9429,-2.158316,-215.8967,-2.318286
714,303.2608,315.8967,-203.2608,-2.384596,-215.8967,-2.538501
765,303.2608,315.8967,-203.2608,-2.591922,-215.8967,-2.758716
816,309.5788,322.2147,-209.5788,-2.824646,-222.2147,-3.004329
867,303.2608,322.2147,-203.2608,-3.013018,-222.2147,-3.230988
918,303.2608,328.5326,-203.2608,-3.220345,-228.5326,-3.483045
969,303.2608,322.2147,-203.2608,-3.42767,-222.2147,-3.69075
1020,309.5788,328.5326,-209.5788,-3.660395,-228.5326,-3.942807
1071,303.2608,315.8967,-203.2608,-3.848767,-215.8967,-4.125114
1122,303.2608,322.2147,-203.2608,-4.056093,-222.2147,-4.370727
1173,309.5788,322.2147,-209.5788,-4.288817,-222.2147,-4.597385
1224,303.2608,322.2147,-203.2608,-4.47719,-222.2147,-4.824045
1275,303.2608,322.2147,-203.2608,-4.684516,-222.2147,-5.050704
1326,303.2608,322.2147,-203.2608,-4.891842,-222.2147,-5.277362
1377,309.5788,322.2147,-209.5788,-5.124566,-222.2147,-5.504021
1428,303.2608,322.2147,-203.2608,-5.312938,-222.2147,-5.73068
1479,309.5788,322.2147,-209.5788,-5.545663,-222.2147,-5.957339
1530,303.2608,322.2147,-203.2608,-5.734035,-222.2147,-6.183998
1581,303.2608,322.2147,-203.2608,-5.941361,-222.2147,-6.410657
1632,303.2608,328.5326,-203.2608,-6.148687,-228.5326,-6.662714
1689,310.9089,322.2146,-210.9089,-6.412067,-222.2146,-6.897085
1740,303.2608,315.8967,-203.2608,-6.596449,-215.8967,-7.098346
1791,303.2608,322.2147,-203.2608,-6.803775,-222.2147,-7.343958
1842,303.2608,322.2147,-203.2608,-7.011102,-222.2147,-7.570617
1893,309.5788,322.2147,-209.5788,-7.243825,-222.2147,-7.797276
1944,303.2608,322.2147,-203.2608,-7.432198,-222.2147,-8.023935
1995,303.2608,322.2147,-203.2608,-7.639524,-222.2147,-8.250594
2046,303.2608,322.2147,-203.2608,-7.84685,-222.2147,-8.477253
2097,309.5788,328.5326,-209.5788,-8.079574,-228.5326,-8.729309
2148,309.5788,322.2147,-209.5788,-8.293344,-222.2147,-8.937015
2199,303.2608,322.2147,-203.2608,-8.481716,-222.2147,-9.163674
2250,303.2608,322.2147,-203.2608,-8.689042,-222.2147,-9.390333
2301,309.5788,315.8967,-209.5788,-8.921766,-215.8967,-9.591594
2352,309.5788,328.5326,-209.5788,-9.135536,-228.5326,-9.862604
2403,303.2608,315.8967,-203.2608,-9.323908,-215.8967,-10.04491
2454,303.2608,322.2147,-203.2608,-9.531234,-222.2147,-10.29052
2505,309.5788,322.2147,-209.5788,-9.763959,-222.2147,-10.51718
2556,303.2608,322.2147,-203.2608,-9.952331,-222.2147,-10.74384
2607,309.5788,322.2147,-209.5788,-10.18505,-222.2147,-10.9705
2658,303.2608,328.5326,-203.2608,-10.37343,-228.5326,-11.22256
2709,303.2608,315.8967,-203.2608,-10.58075,-215.8967,-11.40487
2760,309.5788,328.5326,-209.5788,-10.81348,-228.5326,-11.67588
2811,303.2608,322.2147,-203.2608,-11.00185,-222.2147,-11.88358
2862,309.5788,322.2147,-209.5788,-11.23457,-222.2147,-12.11024
2913,303.2608,315.8967,-203.2608,-11.42295,-215.8967,-12.3115
2964,309.5788,322.2147,-209.5788,-11.65567,-222.2147,-12.55711
3015,303.2608,322.2147,-203.2608,-11.84404,-222.2147,-12.78377
3066,309.5788,322.2147,-209.5788,-12.07677,-222.2147,-13.01043
3117,303.2608,322.2147,-203.2608,-12.26514,-222.2147,-13.23709
3168,309.5788,322.2147,-209.5788,-12.49786,-222.2147,-13.46375
3219,303.2608,322.2147,-203.2608,-12.68623,-222.2147,-13.69041
3270,303.2608,328.5326,-203.2608,-12.89356,-228.5326,-13.94246
3321,309.5788,322.2147,-209.5788,-13.12629,-222.2147,-14.15017
3372,303.2608,322.2147,-203.2608,-13.31466,-222.2147,-14.37683
3423,303.2608,315.8967,-203.2608,-13.52198,-215.8967,-14.57809
3474,309.5788,328.5326,-209.5788,-13.75471,-228.5326,-14.8491
3525,303.2608,315.8967,-203.2608,-13.94308,-215.8967,-15.03141
3576,309.5788,322.2147,-209.5788,-14.17581,-222.2147,-15.27702
3627,303.2608,322.2147,-203.2608,-14.36418,-222.2147,-15.50368
3678,303.2608,322.2147,-203.2608,-14.5715,-222.2147,-15.73034
3729,303.2608,322.2147,-203.2608,-14.77883,-222.2147,-15.957
3780,309.5788,322.2147,-209.5788,-15.01155,-222.2147,-16.18366
