time,l speed,r speed,l error,l effort,r error,r effort
3979,669.701,669.701,-569.701,-21.08546,-569.701,-21.53012
4030,669.701,669.701,-569.701,-21.37601,-569.701,-21.82066
4081,663.3831,669.701,-563.3831,-21.65701,-569.701,-22.11121
4132,663.3831,650.7472,-563.3831,-21.94434,-550.7472,-22.37314
4183,657.0652,663.3831,-557.0652,-22.22212,-563.3831,-22.6731
4234,650.7472,669.701,-550.7472,-22.49669,-569.701,-22.96996
4285,650.7472,663.3831,-550.7472,-22.77757,-563.3831,-23.25097
4336,638.1113,676.019,-538.1113,-23.03937,-576.019,-23.55738
4387,625.4755,669.701,-525.4755,-23.29473,-569.701,-23.8416
4438,631.7934,669.701,-531.7934,-23.57226,-569.701,-24.13215
4489,638.1113,682.3369,-538.1113,-23.85301,-582.3369,-24.44178
4540,638.1113,669.701,-538.1113,-24.12745,-569.701,-24.71969
4591,638.1113,676.019,-538.1113,-24.40188,-576.019,-25.01978
4642,650.7472,688.6548,-550.7472,-24.6954,-588.6548,-25.33263
4693,644.4293,657.0652,-544.4293,-24.96674,-557.0652,-25.58514
4744,650.7472,682.3369,-550.7472,-25.25394,-582.3369,-25.90741
4795,657.0652,663.3831,-557.0652,-25.54436,-563.3831,-26.17578
4846,663.3831,657.0652,-563.3831,-25.83801,-557.0652,-26.45356
4897,650.7472,663.3831,-550.7472,-26.10625,-563.3831,-26.74721
4948,650.7472,657.0652,-550.7472,-26.38713,-557.0652,-27.02499
5001,656.5884,656.5884,-556.5884,-26.68797,-556.5884,-27.31951
5052,644.4293,669.701,-544.4293,-26.95347,-569.701,-27.62317
5103,650.7472,657.0652,-550.7472,-27.24067,-557.0652,-27.89464
5154,650.7472,669.701,-550.7472,-27.52155,-569.701,-28.19782
5205,644.4293,663.3831,-544.4293,-27.79289,-563.3831,-28.47882
5256,644.4293,669.701,-544.4293,-28.07055,-569.701,-28.77569
5307,644.4293,669.701,-544.4293,-28.34821,-569.701,-29.06623
5359,644.4293,675.4114,-544.4293,-28.63131,-575.4114,-29.37116
5410,625.4755,657.0652,-525.4755,-28.88035,-557.0652,-29.63692
5461,638.1113,657.0652,-538.1113,-29.16742,-557.0652,-29.92102
5512,644.4293,657.0652,-544.4293,-29.4514,-557.0652,-30.20513
5563,657.0652,650.7472,-557.0652,-29.74814,-550.7472,-30.47969
5614,663.3831,650.7472,-563.3831,-30.04178,-550.7472,-30.76057
5665,657.0652,638.1113,-557.0652,-30.31956,-538.1113,-31.02237
5717,669.215,644.4293,-569.215,-30.62771,-544.4293,-31.31179
5768,644.4293,650.7472,-544.4293,-30.88058,-550.7472,-31.59899
5819,650.7472,663.3831,-550.7472,-31.16778,-563.3831,-31.89895
5870,657.0652,663.3831,-557.0652,-31.4582,-563.3831,-32.18628
5921,650.7472,682.3369,-550.7472,-31.73276,-582.3369,-32.50222
5972,650.7472,676.019,-550.7472,-32.01365,-576.019,-32.78967
6023,638.1113,676.019,-538.1113,-32.27544,-576.019,-33.08344
6075,656.8221,681.6079,-556.8221,-32.58371,-581.6079,-33.39147
6126,650.7472,657.0652,-550.7472,-32.85851,-557.0652,-33.65103
6177,663.3831,676.019,-563.3831,-33.15847,-576.019,-33.96375
6228,669.701,676.019,-569.701,-33.45534,-576.019,-34.25752
6279,669.701,676.019,-569.701,-33.74588,-576.019,-34.55129
6330,663.3831,663.3831,-563.3831,-34.02689,-563.3831,-34.82598
6381,657.0652,663.3831,-557.0652,-34.30467,-563.3831,-35.11331
6434,662.6678,674.8268,-562.6678,-34.60849,-574.8268,-35.42941
6485,644.4293,676.019,-544.4293,-34.86791,-576.019,-35.72437
6536,657.0652,669.701,-557.0652,-35.16465,-569.701,-36.0086
6587,663.3831,663.3831,-563.3831,-35.45829,-563.3831,-36.2896
6638,657.0652,663.3831,-557.0652,-35.73608,-563.3831,-36.57693
6689,657.0652,663.3831,-557.0652,-36.02018,-563.3831,-36.86425
6740,663.3831,663.3831,-563.3831,-36.31383,-563.3831,-37.15158
6792,675.4114,675.4114,-575.4114,-36.62507,-575.4114,-37.46282
6843,650.7472,657.0652,-550.7472,-36.88128,-557.0652,-37.72857
6894,676.019,669.701,-576.019,-37.20033,-569.701,-38.03176
6945,663.3831,669.701,-563.3831,-37.47501,-569.701,-38.32231
6996,650.7472,657.0652,-550.7472,-37.74326,-557.0652,-38.59377
7047,650.7472,669.701,-550.7472,-38.02414,-569.701,-38.89696
7098,650.7472,657.0652,-550.7472,-38.30502,-557.0652,-39.16842
7151,656.5884,674.8268,-556.5884,-38.60585,-574.8268,-39.49084
7202,657.0652,676.019,-557.0652,-38.89043,-576.019,-39.7858
7253,650.7472,682.3369,-550.7472,-39.165,-582.3369,-40.08912
7304,657.0652,694.9728,-557.0652,-39.45542,-594.9728,-40.40519
7355,644.4293,694.9728,-544.4293,-39.72044,-594.9728,-40.70862
7406,657.0652,701.2906,-557.0652,-40.01718,-601.2906,-41.0216
7457,669.701,688.6548,-569.701,-40.32037,-588.6548,-41.30917
7509,669.215,706.3936,-569.215,-40.61587,-606.3936,-41.64223
7560,644.4293,694.9728,-544.4293,-40.86874,-594.9728,-41.93426
7611,657.0652,694.9728,-557.0652,-41.16549,-594.9728,-42.23769
7662,657.0652,707.6086,-557.0652,-41.44959,-607.6086,-42.56021
7713,650.7472,701.2906,-550.7472,-41.72415,-601.2906,-42.86055
7764,657.0652,694.9728,-557.0652,-42.01457,-594.9728,-43.15767
7815,650.7472,701.2906,-550.7472,-42.28913,-601.2906,-43.47065
7867,669.215,712.59,-569.215,-42.60359,-612.59,-43.8005
7918,650.7472,688.6548,-550.7472,-42.866,-588.6548,-44.07677
7969,657.0652,701.2906,-557.0652,-43.15642,-601.2906,-44.39607
8020,669.701,713.9266,-569.701,-43.4596,-613.9266,-44.72181
8071,657.0652,701.2906,-557.0652,-43.73107,-601.2906,-45.01583
8122,663.3831,713.9266,-563.3831,-44.02471,-613.9266,-45.34157
8173,669.701,713.9266,-569.701,-44.32158,-613.9266,-45.65467
8226,662.6678,723.463,-562.6678,-44.61275,-623.463,-45.99464
8277,657.0652,707.6086,-557.0652,-44.89125,-607.6086,-46.28867
8328,669.701,707.6086,-569.701,-45.19444,-607.6086,-46.59855
8379,657.0652,720.2445,-557.0652,-45.4659,-620.2445,-46.92751
