time,l speed,r speed,l error,l effort,r error,r effort
51,6.317934,0.0,93.68207,0.3766019,100.0,0.402
102,37.9076,37.9076,62.0924,0.3451671,62.0924,0.3516114
153,221.1277,233.7636,-121.1277,-0.3280434,-133.7636,-0.3723953
204,366.4402,372.7581,-266.4402,-1.03575,-272.7581,-1.067592
255,461.2092,480.163,-361.2092,-1.68849,-380.163,-1.777573
306,530.7065,549.6603,-430.7065,-2.336303,-449.6603,-2.444718
357,574.932,593.8858,-474.932,-2.95341,-493.8858,-3.081158
408,606.5217,625.4755,-506.5217,-3.564831,-525.4755,-3.711913
459,631.7934,650.7472,-531.7934,-4.183075,-550.7472,-4.34949
510,657.0652,676.019,-557.0652,-4.827097,-576.019,-5.012844
561,669.701,682.3369,-569.701,-5.4461,-582.3369,-5.625782
612,676.019,701.2906,-576.019,-6.052593,-601.2906,-6.29596
663,682.3369,701.2906,-582.3369,-6.665531,-601.2906,-6.909276
714,694.9728,707.6086,-594.9728,-7.31031,-607.6086,-7.547991
765,694.9728,713.9266,-594.9728,-7.917182,-613.9266,-8.19315
816,701.2906,713.9266,-601.2906,-8.549452,-613.9266,-8.819354
867,701.2906,713.9266,-601.2906,-9.162768,-613.9266,-9.445559
918,701.2906,713.9266,-601.2906,-9.776086,-613.9266,-10.07176
969,707.6086,713.9266,-607.6086,-10.4148,-613.9266,-10.69797
1020,707.6086,720.2445,-607.6086,-11.03456,-620.2445,-11.34957
1071,713.9266,713.9266,-613.9266,-11.67972,-613.9266,-11.95682
1122,707.6086,720.2445,-607.6086,-12.28053,-620.2445,-12.60843
1173,713.9266,713.9266,-613.9266,-12.92569,-613.9266,-13.21568
1224,707.6086,713.9266,-607.6086,-13.52649,-613.9266,-13.84188
1275,713.9266,720.2445,-613.9266,-14.17165,-620.2445,-14.49348
1326,707.6086,720.2445,-607.6086,-14.77246,-620.2445,-15.12613
1377,713.9266,713.9266,-613.9266,-15.41762,-613.9266,-15.73339
1428,707.6086,720.2445,-607.6086,-16.01842,-620.2445,-16.38499
1479,713.9266,713.9266,-613.9266,-16.66358,-613.9266,-16.99224
1530,713.9266,720.2445,-613.9266,-17.28979,-620.2445,-17.64384
1581,707.6086,720.2445,-607.6086,-17.89059,-620.2445,-18.27649
1632,713.9266,720.2445,-613.9266,-18.53575,-620.2445,-18.90914
1683,713.9266,720.2445,-613.9266,-19.16196,-620.2445,-19.54179
1734,707.6086,720.2445,-607.6086,-19.76277,-620.2445,-20.17444
1785,713.9266,726.5624,-613.9266,-20.40792,-626.5624,-20.83249
1836,713.9266,720.2445,-613.9266,-21.03413,-620.2445,-21.44618
1887,707.6086,726.5624,-607.6086,-21.63494,-626.5624,-22.10423
1938,713.9266,720.2445,-613.9266,-22.28009,-620.2445,-22.71792
1989,713.9266,720.2445,-613.9266,-22.9063,-620.2445,-23.35057
2040,713.9266,726.5624,-613.9266,-23.53251,-626.5624,-24.00862
2091,713.9266,720.2445,-613.9266,-24.15871,-620.2445,-24.62231
2142,707.6086,726.5624,-607.6086,-24.75952,-626.5624,-25.28036
2193,713.9266,720.2445,-613.9266,-25.40468,-620.2445,-25.89406
2244,713.9266,726.5624,-613.9266,-26.03088,-626.5624,-26.5521
2295,713.9266,726.5624,-613.9266,-26.65709,-626.5624,-27.1912
2346,713.9266,720.2445,-613.9266,-27.28329,-620.2445,-27.8049
2397,713.9266,726.5624,-613.9266,-27.9095,-626.5624,-28.46294
2448,707.6086,726.5624,-607.6086,-28.51031,-626.5624,-29.10204
2499,713.9266,726.5624,-613.9266,-29.15547,-626.5624,-29.74113
2550,713.9266,726.5624,-613.9266,-29.78167,-626.5624,-30.38023
2601,713.9266,726.5624,-613.9266,-30.40788,-626.5624,-31.01932
2652,707.6086,726.5624,-607.6086,-31.00869,-626.5624,-31.65841
2703,713.9266,720.2445,-613.9266,-31.65385,-620.2445,-32.27211
2754,713.9266,726.5624,-613.9266,-32.28005,-626.5624,-32.93016
2805,713.9266,726.5624,-613.9266,-32.90626,-626.5624,-33.56925
2856,707.6086,720.2445,-607.6086,-33.50706,-620.2445,-34.18295
2907,713.9266,726.5624,-613.9266,-34.15223,-626.5624,-34.841
2961,716.0325,721.9995,-616.0325,-34.82386,-621.9995,-35.49907
3012,707.6086,726.5624,-607.6086,-35.41835,-626.5624,-36.15185
3063,713.9266,720.2445,-613.9266,-36.06351,-620.2445,-36.76554
3114,713.9266,726.5624,-613.9266,-36.68971,-626.5624,-37.4236
3165,707.6086,720.2445,-607.6086,-37.29052,-620.2445,-38.03729
3216,713.9266,726.5624,-613.9266,-37.93568,-626.5624,-38.69534
3267,707.6086,726.5624,-607.6086,-38.53649,-626.5624,-39.33443
3318,713.9266,726.5624,-613.9266,-39.18165,-626.5624,-39.97353
3369,713.9266,726.5624,-613.9266,-39.80785,-626.5624,-40.61262
3420,713.9266,720.2445,-613.9266,-40.43406,-620.2445,-41.22631
3471,707.6086,726.5624,-607.6086,-41.03487,-626.5624,-41.88436
3522,713.9266,726.5624,-613.9266,-41.68002,-626.5624,-42.52346
3573,713.9266,726.5624,-613.9266,-42.30623,-626.5624,-43.16255
3624,713.9266,726.5624,-613.9266,-42.93244,-626.5624,-43.80164
3675,707.6086,726.5624,-607.6086,-43.53325,-626.5624,-44.44073
3726,713.9266,726.5624,-613.9266,-44.17841,-626.5624,-45.07982
3777,713.9266,720.2445,-613.9266,-44.80461,-620.2445,-45.69352
