time,l speed,r speed,l error,l effort,r error,r effort
51,69.49728,6.317934,330.5027,0.4990591,393.6821,0.59446
102,37.9076,37.9076,362.0924,0.7153159,362.0924,0.7475374
153,101.0869,101.0869,298.9131,0.8045822,298.9131,0.8368036
204,189.538,183.2201,210.462,0.8234667,216.7799,0.8652283
255,252.7174,265.3532,147.2826,0.8354015,134.6468,0.8517649
306,315.8967,322.2147,84.1033,0.8151149,77.78534,0.8345739
357,372.7581,366.4402,27.24188,0.7721468,33.55981,0.8074638
408,398.0298,410.6657,1.970154,0.7478799,-10.66571,0.7577989
459,404.3478,429.6195,-4.347778,0.7393446,-29.61951,0.7237391
510,404.3478,416.9837,-4.347778,0.7371273,-16.98367,0.7277132
561,423.3016,429.6195,-23.30161,0.7062896,-29.61951,0.6999714
612,429.6195,423.3016,-29.61951,0.6848657,-23.30161,0.6944055
663,435.9374,423.3016,-35.93744,0.6602197,-23.30161,0.6825216
714,429.6195,404.3478,-29.61951,0.6514316,-4.347778,0.6992581
765,423.3016,398.0298,-23.30161,0.6458657,1.970154,0.7065809
816,416.9837,404.3478,-16.98367,0.643522,-4.347778,0.6980456
867,410.6657,404.3478,-10.66571,0.6444004,-4.347778,0.6958282
918,404.3478,398.0298,-4.347778,0.648501,1.970154,0.703151
969,398.0298,379.076,1.970154,0.6558238,20.92395,0.7327761
1020,398.0298,385.394,1.970154,0.6568286,14.60602,0.7339071
1071,391.7119,404.3478,8.288055,0.6673733,-4.347778,0.712736
1122,385.394,404.3478,14.60602,0.6811403,-4.347778,0.7105186
1173,385.394,398.0298,14.60602,0.6885894,1.970154,0.7178414
1224,391.7119,398.0298,8.288055,0.6864983,1.970154,0.7188462
1275,385.394,410.6657,14.60602,0.7002653,-10.66571,0.7007708
1326,385.394,410.6657,14.60602,0.7077144,-10.66571,0.6953313
1377,385.394,416.9837,14.60602,0.7151634,-16.98367,0.6803517
1428,404.3478,398.0298,-4.347778,0.6939922,1.970154,0.7003103
1479,404.3478,391.7119,-4.347778,0.6917749,8.288055,0.7108551
1530,404.3478,410.6657,-4.347778,0.6895576,-10.66571,0.6864618
1581,404.3478,416.9837,-4.347778,0.6873403,-16.98367,0.6714822
1632,398.0298,404.3478,1.970154,0.694663,-4.347778,0.6819007
1683,398.0298,398.0298,1.970154,0.6956678,1.970154,0.6892235
1734,391.7119,410.6657,8.288055,0.7062126,-10.66571,0.6711481
1785,398.0298,410.6657,1.970154,0.7008996,-10.66571,0.6657085
1836,385.394,410.6657,14.60602,0.7209844,-10.66571,0.660269
1887,391.7119,404.3478,8.288055,0.7188934,-4.347778,0.6643696
1938,398.0298,398.0298,1.970154,0.7135802,1.970154,0.6716924
1989,398.0298,404.3478,1.970154,0.7145851,-4.347778,0.663157
2040,398.0298,404.3478,1.970154,0.7155898,-4.347778,0.6609397
2091,398.0298,391.7119,1.970154,0.7165946,8.288055,0.6778026
2142,398.0298,391.7119,1.970154,0.7175994,8.288055,0.6820293
2193,404.3478,391.7119,-4.347778,0.7090641,8.288055,0.6862563
2244,404.3478,398.0298,-4.347778,0.7068468,1.970154,0.6809433
2295,404.3478,404.3478,-4.347778,0.7046295,-4.347778,0.6724079
2346,398.0298,398.0298,1.970154,0.7119522,1.970154,0.6797307
2397,404.3478,391.7119,-4.347778,0.7034169,8.288055,0.6902756
2448,416.9837,398.0298,-16.98367,0.6821194,1.970154,0.6849624
