time,l speed,r speed,l error,l effort,r error,r effort
51,-6.317934,6.317934,106.3179,0.1605401,93.68207,0.1414599
103,6.196435,6.196435,93.80357,0.1968036,93.80357,0.1903593
154,18.9538,12.63587,81.0462,0.2253798,87.36414,0.2284755
205,6.317934,31.58967,93.68207,0.2857935,68.41032,0.244411
256,31.58967,31.58967,68.41032,0.295411,68.41032,0.2793002
307,37.9076,56.86141,62.0924,0.3207602,43.13859,0.2760292
358,44.22554,69.49728,55.77446,0.3428872,30.50272,0.2789497
409,50.54347,75.81521,49.45653,0.3617921,24.18479,0.284966
460,69.49728,88.45108,30.50272,0.3583947,11.54892,0.2782201
511,69.49728,94.76901,30.50272,0.3739511,5.230988,0.27457
562,82.13315,94.76901,17.86685,0.3704273,5.230988,0.2772378
613,88.45108,107.4049,11.54892,0.3699993,-7.404877,0.2608254
664,101.0869,101.0869,-1.086945,0.3568091,-1.086945,0.266589
715,94.76901,107.4049,5.230988,0.3657948,-7.404877,0.2564946
766,101.0869,101.0869,-1.086945,0.3589225,-1.086945,0.2622582
817,94.76901,101.0869,5.230988,0.3679083,-1.086945,0.2617039
868,94.76901,113.7228,5.230988,0.3705761,-13.72282,0.2420694
919,88.45108,101.0869,11.54892,0.3827839,-1.086945,0.2541509
970,101.0869,107.4049,-1.086945,0.3695937,-7.404877,0.2440565
1021,107.4049,107.4049,-7.404877,0.3594993,-7.404877,0.24028
1072,94.76901,113.7228,5.230988,0.374803,-13.72282,0.2269634
1123,94.76901,107.4049,5.230988,0.3774708,-7.404877,0.2295049
1174,101.0869,101.0869,-1.086945,0.3705985,-1.086945,0.2352684
1225,101.0869,107.4049,-1.086945,0.3700442,-7.404877,0.225174
1276,107.4049,94.76901,-7.404877,0.3599498,5.230988,0.2404777
1327,113.7228,94.76901,-13.72282,0.3466332,5.230988,0.2431455
1378,113.7228,88.45108,-13.72282,0.3396346,11.54892,0.2553534
1429,107.4049,88.45108,-7.404877,0.3421761,11.54892,0.2612433
1480,101.0869,88.45108,-1.086945,0.3479396,11.54892,0.2671333
1531,88.45108,88.45108,11.54892,0.3664654,11.54892,0.2730232
1582,94.76901,88.45108,5.230988,0.3628153,11.54892,0.2789132
1633,94.76901,101.0869,5.230988,0.3654831,-1.086945,0.265723
1684,94.76901,94.76901,5.230988,0.3681509,5.230988,0.2747087
1735,101.0869,101.0869,-1.086945,0.3612786,-1.086945,0.2678365
1786,101.0869,94.76901,-1.086945,0.3607243,5.230988,0.2768222
1837,88.45108,101.0869,11.54892,0.37925,-1.086945,0.2699499
1888,94.76901,101.0869,5.230988,0.3756,-1.086945,0.2693956
1939,107.4049,101.0869,-7.404877,0.3591876,-1.086945,0.2688413
1990,107.4049,107.4049,-7.404877,0.3554111,-7.404877,0.2587469
2041,107.4049,101.0869,-7.404877,0.3516346,-1.086945,0.2645104
2092,94.76901,107.4049,5.230988,0.3669383,-7.404877,0.254416
2143,94.76901,101.0869,5.230988,0.3696061,-1.086945,0.2601796
2194,101.0869,88.45108,-1.086945,0.3627338,11.54892,0.2787055
2245,101.0869,101.0869,-1.086945,0.3621795,-1.086945,0.2655153
2296,107.4049,94.76901,-7.404877,0.3520851,5.230988,0.274501
2347,101.0869,94.76901,-1.086945,0.3578487,5.230988,0.2771688
2398,94.76901,101.0869,5.230988,0.3668344,-1.086945,0.2702965
2449,94.76901,101.0869,5.230988,0.3695022,-1.086945,0.2697422
2500,94.76901,101.0869,5.230988,0.37217,-1.086945,0.2691879
2551,88.45108,101.0869,11.54892,0.3843779,-1.086945,0.2686336
2602,88.45108,101.0869,11.54892,0.3902678,-1.086945,0.2680792
2653,94.76901,101.0869,5.230988,0.3866177,-1.086945,0.2675249
2704,94.76901,101.0869,5.230988,0.3892855,-1.086945,0.2669705
2755,101.0869,101.0869,-1.086945,0.3824132,-1.086945,0.2664162
2806,94.76901,94.76901,5.230988,0.391399,5.230988,0.2754019
2857,94.76901,101.0869,5.230988,0.3940668,-1.086945,0.2685297
2908,88.45108,107.4049,11.54892,0.4062746,-7.404877,0.2584353
2959,101.0869,107.4049,-1.086945,0.3930844,-7.404877,0.2546588
3010,94.76901,107.4049,5.230988,0.4020701,-7.404877,0.2508823
3062,117.7323,99.14296,-17.73228,0.3698861,0.8570404,0.2595899
3113,107.4049,88.45108,-7.404877,0.3764371,11.54892,0.2761717
3164,113.7228,94.76901,-13.72282,0.3631205,5.230988,0.2725215
3215,113.7228,94.76901,-13.72282,0.3561218,5.230988,0.2751894
3266,107.4049,107.4049,-7.404877,0.3586633,-7.404877,0.258777
3317,101.0869,101.0869,-1.086945,0.3644269,-1.086945,0.2645406
3368,101.0869,101.0869,-1.086945,0.3638725,-1.086945,0.2639863
3419,101.0869,101.0869,-1.086945,0.3633182,-1.086945,0.2634319
3470,94.76901,107.4049,5.230988,0.3723039,-7.404877,0.2533375
3521,101.0869,107.4049,-1.086945,0.3654316,-7.404877,0.249561
3572,94.76901,101.0869,5.230988,0.3744174,-1.086945,0.2553246
3623,107.4049,107.4049,-7.404877,0.358005,-7.404877,0.2452302
3674,94.76901,94.76901,5.230988,0.3733087,5.230988,0.2605339
3725,94.76901,94.76901,5.230988,0.3759765,5.230988,0.2632017
3776,82.13315,94.76901,17.86685,0.3977245,5.230988,0.2658695
3827,88.45108,94.76901,11.54892,0.3972964,5.230988,0.2685373
3878,94.76901,88.45108,5.230988,0.3936464,11.54892,0.2807451
3929,101.0869,94.76901,-1.086945,0.3867741,5.230988,0.2770951
3980,113.7228,75.81521,-13.72282,0.3671396,24.18479,0.3083831
4031,113.7228,88.45108,-13.72282,0.3601409,11.54892,0.3016372
4082,120.0408,88.45108,-20.04076,0.3436022,11.54892,0.3075271
4133,126.3587,88.45108,-26.35869,0.3238413,11.54892,0.3134171
4184,120.0408,101.0869,-20.04076,0.3199385,-1.086945,0.3002269
4235,120.0408,94.76901,-20.04076,0.3097177,5.230988,0.3092126
4286,107.4049,101.0869,-7.404877,0.3185771,-1.086945,0.3023404
4337,101.0869,101.0869,-1.086945,0.3243407,-1.086945,0.301786
4388,94.76901,101.0869,5.230988,0.3333264,-1.086945,0.3012317
4439,88.45108,107.4049,11.54892,0.3455343,-7.404877,0.2911373
