time,l speed,r speed,l error,l effort,r error,r effort
51,6.317934,0.0,93.68207,0.2810462,100.0,0.3
102,25.27174,25.27174,74.72826,0.2241848,74.72826,0.2241848
153,56.86141,56.86141,43.13859,0.1294158,43.13859,0.1294158
204,63.17934,56.86141,36.82066,0.110462,43.13859,0.1294158
255,50.54347,50.54347,49.45653,0.1483696,49.45653,0.1483696
306,44.22554,37.9076,55.77446,0.1673234,62.0924,0.1862772
357,44.22554,50.54347,55.77446,0.1673234,49.45653,0.1483696
408,50.54347,50.54347,49.45653,0.1483696,49.45653,0.1483696
459,50.54347,44.22554,49.45653,0.1483696,55.77446,0.1673234
510,56.86141,44.22554,43.13859,0.1294158,55.77446,0.1673234
561,44.22554,50.54347,55.77446,0.1673234,49.45653,0.1483696
612,44.22554,50.54347,55.77446,0.1673234,49.45653,0.1483696
663,50.54347,44.22554,49.45653,0.1483696,55.77446,0.1673234
714,50.54347,44.22554,49.45653,0.1483696,55.77446,0.1673234
765,50.54347,50.54347,49.45653,0.1483696,49.45653,0.1483696
816,50.54347,50.54347,49.45653,0.1483696,49.45653,0.1483696
867,50.54347,44.22554,49.45653,0.1483696,55.77446,0.1673234
918,44.22554,50.54347,55.77446,0.1673234,49.45653,0.1483696
969,50.54347,50.54347,49.45653,0.1483696,49.45653,0.1483696
1020,50.54347,44.22554,49.45653,0.1483696,55.77446,0.1673234
1071,50.54347,50.54347,49.45653,0.1483696,49.45653,0.1483696
1122,44.22554,44.22554,55.77446,0.1673234,55.77446,0.1673234
1173,50.54347,44.22554,49.45653,0.1483696,55.77446,0.1673234
1224,50.54347,50.54347,49.45653,0.1483696,49.45653,0.1483696
1275,50.54347,50.54347,49.45653,0.1483696,49.45653,0.1483696
1326,44.22554,44.22554,55.77446,0.1673234,55.77446,0.1673234
1377,50.54347,50.54347,49.45653,0.1483696,49.45653,0.1483696
1428,56.86141,50.54347,43.13859,0.1294158,49.45653,0.1483696
1479,44.22554,44.22554,55.77446,0.1673234,55.77446,0.1673234
1530,44.22554,50.54347,55.77446,0.1673234,49.45653,0.1483696
1581,50.54347,44.22554,49.45653,0.1483696,55.77446,0.1673234
1632,50.54347,44.22554,49.45653,0.1483696,55.77446,0.1673234
1683,50.54347,50.54347,49.45653,0.1483696,49.45653,0.1483696
1734,44.22554,50.54347,55.77446,0.1673234,49.45653,0.1483696
1785,50.54347,50.54347,49.45653,0.1483696,49.45653,0.1483696
1836,50.54347,37.9076,49.45653,0.1483696,62.0924,0.1862772
1887,44.22554,50.54347,55.77446,0.1673234,49.45653,0.1483696
1938,50.54347,44.22554,49.45653,0.1483696,55.77446,0.1673234
1989,50.54347,50.54347,49.45653,0.1483696,49.45653,0.1483696
