time,l speed,r speed,l error,l effort,r error,r effort
51,-6.317934,6.317934,306.3179,0.4625401,293.6821,0.4434599
103,37.17861,30.98218,262.8214,0.5557107,269.0178,0.5586849
154,94.76901,75.81521,205.231,0.602788,224.1848,0.6281862
205,157.9483,132.6766,142.0517,0.6120551,167.3234,0.6566597
256,183.2201,183.2201,116.7799,0.6463411,116.7799,0.665674
307,214.8098,233.7636,85.19025,0.6581984,66.23643,0.6489111
358,252.7174,259.0353,47.28262,0.6444049,40.96469,0.6445313
409,259.0353,290.625,40.96469,0.658979,9.375031,0.6177229
460,290.625,309.5788,9.375031,0.6321706,-9.578766,0.593884
511,315.8967,303.2608,-15.8967,0.5987916,-3.260834,0.5985389
562,322.2147,309.5788,-22.21466,0.5811441,-9.578766,0.5873358
613,315.8967,322.2147,-15.8967,0.5793548,-22.21466,0.5633704
664,296.9429,315.8967,3.057098,0.5998678,-15.8967,0.5615811
715,296.9429,315.8967,3.057098,0.6014268,-15.8967,0.5534739
766,309.5788,309.5788,-9.578766,0.5839058,-9.578766,0.5549066
817,315.8967,296.9429,-15.8967,0.5694806,3.057098,0.5691015
868,322.2147,290.625,-22.21466,0.5518332,9.375031,0.5802007
919,309.5788,284.307,-9.578766,0.5595839,15.69296,0.594522
970,296.9429,296.9429,3.057098,0.5737789,3.057098,0.5834453
1021,296.9429,290.625,3.057098,0.5753379,9.375031,0.5945445
1072,303.2608,290.625,-3.260834,0.567357,9.375031,0.5993258
1123,315.8967,290.625,-15.8967,0.5466138,9.375031,0.604107
1174,303.2608,290.625,-3.260834,0.5575867,9.375031,0.6088883
1225,303.2608,303.2608,-3.260834,0.5559237,-3.260834,0.5945894
1276,284.307,303.2608,15.69296,0.5828809,-3.260834,0.5929264
1327,284.307,315.8967,15.69296,0.5908843,-15.8967,0.5721832
1378,296.9429,309.5788,3.057098,0.5798076,-9.578766,0.573616
1429,296.9429,309.5788,3.057098,0.5813666,-9.578766,0.5687308
1480,296.9429,315.8967,3.057098,0.5829258,-15.8967,0.5543056
1531,296.9429,309.5788,3.057098,0.5844849,-9.578766,0.5557384
1582,296.9429,309.5788,3.057098,0.5860439,-9.578766,0.5508532
1633,290.625,315.8967,9.375031,0.5971432,-15.8967,0.536428
1684,296.9429,315.8967,3.057098,0.5923843,-15.8967,0.5283207
1735,296.9429,309.5788,3.057098,0.5939435,-9.578766,0.5297534
1786,303.2608,309.5788,-3.260834,0.5859625,-9.578766,0.5248682
1837,290.625,309.5788,9.375031,0.6033796,-9.578766,0.5199831
1888,290.625,303.2608,9.375031,0.6081609,-3.260834,0.5246379
1939,290.625,303.2608,9.375031,0.6129422,-3.260834,0.5229749
1990,284.307,309.5788,15.69296,0.6272635,-9.578766,0.5117718
2041,296.9429,303.2608,3.057098,0.6161867,-3.260834,0.5164268
2092,296.9429,303.2608,3.057098,0.6177459,-3.260834,0.5147637
2143,296.9429,290.625,3.057098,0.6193049,9.375031,0.5321808
2194,284.307,296.9429,15.69296,0.6399442,3.057098,0.527422
2245,303.2608,296.9429,-3.260834,0.6193274,3.057098,0.5289812
2296,296.9429,296.9429,3.057098,0.6272045,3.057098,0.5305402
2347,303.2608,303.2608,-3.260834,0.6192235,-3.260834,0.5225593
2398,303.2608,290.625,-3.260834,0.6175605,9.375031,0.5399764
2449,296.9429,303.2608,3.057098,0.6254375,-3.260834,0.5256775
2500,303.2608,290.625,-3.260834,0.6174565,9.375031,0.5430946
2551,296.9429,290.625,3.057098,0.6253337,9.375031,0.5478759
2602,303.2608,309.5788,-3.260834,0.6173527,-9.578766,0.5240369
2653,303.2608,296.9429,-3.260834,0.6156897,3.057098,0.5382319
2704,315.8967,296.9429,-15.8967,0.5949465,3.057098,0.5397911
2755,322.2147,284.307,-22.21466,0.5772991,15.69296,0.5604303
2806,322.2147,296.9429,-22.21466,0.5659696,3.057098,0.5493536
2857,309.5788,290.625,-9.578766,0.5737204,9.375031,0.5604527
2908,315.8967,290.625,-15.8967,0.5592951,9.375031,0.565234
2959,315.8967,290.625,-15.8967,0.5511878,9.375031,0.5700153
3010,322.2147,284.307,-22.21466,0.5335403,15.69296,0.5843367
3061,315.8967,284.307,-15.8967,0.5317511,15.69296,0.59234
3112,315.8967,284.307,-15.8967,0.5236437,15.69296,0.6003435
3163,303.2608,296.9429,-3.260834,0.5346166,3.057098,0.5892668
3214,290.625,296.9429,9.375031,0.5520337,3.057098,0.5908258
3265,303.2608,303.2608,-3.260834,0.5377348,-3.260834,0.5828448
3316,303.2608,296.9429,-3.260834,0.5360718,3.057098,0.590722
3367,315.8967,296.9429,-15.8967,0.5153286,3.057098,0.5922811
3418,303.2608,284.307,-3.260834,0.5263015,15.69296,0.6129203
3469,296.9429,296.9429,3.057098,0.5341785,3.057098,0.6018436
3520,290.625,296.9429,9.375031,0.5452777,3.057098,0.6034027
3571,290.625,309.5788,9.375031,0.550059,-9.578766,0.5858816
3622,303.2608,303.2608,-3.260834,0.5357601,-3.260834,0.5905365
3673,296.9429,296.9429,3.057098,0.5436372,3.057098,0.5984136
3724,290.625,309.5788,9.375031,0.5547364,-9.578766,0.5808925
3775,277.9891,309.5788,22.01089,0.5785978,-9.578766,0.5760074
3826,271.6712,309.5788,28.32883,0.5993634,-9.578766,0.5711222
3877,271.6712,315.8967,28.32883,0.6138111,-15.8967,0.5566969
3928,284.307,315.8967,15.69296,0.6091786,-15.8967,0.5485897
3979,290.625,303.2608,9.375031,0.607642,-3.260834,0.5595624
4030,296.9429,309.5788,3.057098,0.6028832,-9.578766,0.5483594
4081,309.5788,309.5788,-9.578766,0.5853621,-9.578766,0.5434742
4132,309.5788,303.2608,-9.578766,0.580477,-3.260834,0.5481291
4183,296.9429,303.2608,3.057098,0.594672,-3.260834,0.5464661
4234,290.625,303.2608,9.375031,0.6057711,-3.260834,0.5448031
4285,303.2608,296.9429,-3.260834,0.5914722,3.057098,0.5526801
4336,296.9429,290.625,3.057098,0.5993493,9.375031,0.5637793
4387,303.2608,296.9429,-3.260834,0.5913683,3.057098,0.5590205
4438,290.625,290.625,9.375031,0.6087854,9.375031,0.5701197
4489,290.625,296.9429,9.375031,0.6135667,3.057098,0.5653609
4540,284.307,296.9429,15.69296,0.6278881,3.057098,0.56692
4591,296.9429,296.9429,3.057098,0.6168113,3.057098,0.5684791
