time,l speed,r speed,l error,l effort,r error,r effort
51,-6.317934,0.0,306.3179,0.4625401,300.0,0.453
103,43.37505,49.57148,256.6249,0.5462921,250.4285,0.5336514
154,132.6766,132.6766,167.3234,0.5423254,167.3234,0.5358811
205,221.1277,221.1277,78.8723,0.4940992,78.8723,0.4876549
256,271.6712,265.3532,28.32883,0.4580034,34.64676,0.4610992
307,296.9429,290.625,3.057098,0.4342908,9.375031,0.4406087
358,303.2608,290.625,-3.260834,0.4263099,9.375031,0.44539
409,296.9429,303.2608,3.057098,0.4341869,-3.260834,0.4310911
460,303.2608,296.9429,-3.260834,0.426206,3.057098,0.4389681
511,290.625,296.9429,9.375031,0.4436231,3.057098,0.4405272
562,296.9429,296.9429,3.057098,0.4388642,3.057098,0.4420864
613,296.9429,303.2608,3.057098,0.4404233,-3.260834,0.4341054
664,303.2608,296.9429,-3.260834,0.4324424,3.057098,0.4419825
715,296.9429,303.2608,3.057098,0.4403194,-3.260834,0.4340015
766,303.2608,296.9429,-3.260834,0.4323385,3.057098,0.4418785
817,296.9429,296.9429,3.057098,0.4402155,3.057098,0.4434376
868,303.2608,303.2608,-3.260834,0.4322346,-3.260834,0.4354567
919,296.9429,296.9429,3.057098,0.4401116,3.057098,0.4433337
970,296.9429,296.9429,3.057098,0.4416707,3.057098,0.4448928
1021,303.2608,303.2608,-3.260834,0.4336898,-3.260834,0.4369119
1072,296.9429,296.9429,3.057098,0.4415668,3.057098,0.4447889
1123,303.2608,303.2608,-3.260834,0.4335858,-3.260834,0.436808
1174,296.9429,296.9429,3.057098,0.4414629,3.057098,0.444685
1225,303.2608,303.2608,-3.260834,0.433482,-3.260834,0.4367041
1276,296.9429,303.2608,3.057098,0.441359,-3.260834,0.435041
1327,303.2608,296.9429,-3.260834,0.433378,3.057098,0.4429181
1378,303.2608,296.9429,-3.260834,0.431715,3.057098,0.4444772
1429,296.9429,303.2608,3.057098,0.439592,-3.260834,0.4364963
1480,296.9429,303.2608,3.057098,0.4411511,-3.260834,0.4348332
1531,296.9429,296.9429,3.057098,0.4427103,3.057098,0.4427103
1582,303.2608,296.9429,-3.260834,0.4347293,3.057098,0.4442694
1633,296.9429,303.2608,3.057098,0.4426064,-3.260834,0.4362884
1684,303.2608,296.9429,-3.260834,0.4346254,3.057098,0.4441654
1735,303.2608,296.9429,-3.260834,0.4329624,3.057098,0.4457245
1786,296.9429,303.2608,3.057098,0.4408394,-3.260834,0.4377436
1837,296.9429,296.9429,3.057098,0.4423985,3.057098,0.4456206
1888,296.9429,303.2608,3.057098,0.4439576,-3.260834,0.4376397
1939,303.2608,296.9429,-3.260834,0.4359767,3.057098,0.4455167
1990,303.2608,303.2608,-3.260834,0.4343137,-3.260834,0.4375358
2041,296.9429,303.2608,3.057098,0.4421907,-3.260834,0.4358727
2092,296.9429,296.9429,3.057098,0.4437498,3.057098,0.4437498
2143,303.2608,296.9429,-3.260834,0.4357689,3.057098,0.4453089
2194,303.2608,303.2608,-3.260834,0.4341058,-3.260834,0.437328
2245,296.9429,296.9429,3.057098,0.4419828,3.057098,0.445205
2296,303.2608,296.9429,-3.260834,0.4340019,3.057098,0.4467641
2347,296.9429,303.2608,3.057098,0.4418789,-3.260834,0.4387832
2398,303.2608,296.9429,-3.260834,0.433898,3.057098,0.4466602
2449,296.9429,303.2608,3.057098,0.441775,-3.260834,0.4386793
2500,296.9429,296.9429,3.057098,0.4433342,3.057098,0.4465563
2551,296.9429,303.2608,3.057098,0.4448933,-3.260834,0.4385753
2602,303.2608,303.2608,-3.260834,0.4369123,-3.260834,0.4369123
2653,303.2608,296.9429,-3.260834,0.4352493,3.057098,0.4447894
2704,296.9429,296.9429,3.057098,0.4431263,3.057098,0.4463484
2755,303.2608,303.2608,-3.260834,0.4351454,-3.260834,0.4383675
2806,296.9429,296.9429,3.057098,0.4430224,3.057098,0.4462445
2857,296.9429,303.2608,3.057098,0.4445815,-3.260834,0.4382636
2908,296.9429,296.9429,3.057098,0.4461406,3.057098,0.4461406
2959,303.2608,296.9429,-3.260834,0.4381597,3.057098,0.4476997
3010,303.2608,303.2608,-3.260834,0.4364967,-3.260834,0.4397188
3061,303.2608,303.2608,-3.260834,0.4348336,-3.260834,0.4380558
3112,296.9429,296.9429,3.057098,0.4427107,3.057098,0.4459328
3163,296.9429,303.2608,3.057098,0.4442698,-3.260834,0.4379519
3214,296.9429,296.9429,3.057098,0.4458289,3.057098,0.4458289
3265,303.2608,296.9429,-3.260834,0.4378479,3.057098,0.447388
3316,303.2608,303.2608,-3.260834,0.4361849,-3.260834,0.4394071
3367,296.9429,303.2608,3.057098,0.4440619,-3.260834,0.437744
3418,303.2608,296.9429,-3.260834,0.436081,3.057098,0.4456211
3469,296.9429,296.9429,3.057098,0.443958,3.057098,0.4471802
3520,296.9429,303.2608,3.057098,0.4455172,-3.260834,0.4391993
3571,303.2608,296.9429,-3.260834,0.4375362,3.057098,0.4470763
3622,296.9429,296.9429,3.057098,0.4454132,3.057098,0.4486353
3673,296.9429,303.2608,3.057098,0.4469723,-3.260834,0.4406544
3724,303.2608,296.9429,-3.260834,0.4389914,3.057098,0.4485314
3775,303.2608,303.2608,-3.260834,0.4373284,-3.260834,0.4405505
3826,296.9429,296.9429,3.057098,0.4452054,3.057098,0.4484275
3877,303.2608,303.2608,-3.260834,0.4372245,-3.260834,0.4404466
3928,296.9429,303.2608,3.057098,0.4451015,-3.260834,0.4387836
3979,303.2608,296.9429,-3.260834,0.4371205,3.057098,0.4466606
4030,296.9429,296.9429,3.057098,0.4449976,3.057098,0.4482197
4081,296.9429,303.2608,3.057098,0.4465567,-3.260834,0.4402388
4132,303.2608,296.9429,-3.260834,0.4385757,3.057098,0.4481158
4183,303.2608,296.9429,-3.260834,0.4369127,3.057098,0.4496749
4234,296.9429,303.2608,3.057098,0.4447898,-3.260834,0.441694
4285,303.2608,296.9429,-3.260834,0.4368088,3.057098,0.449571
4336,296.9429,303.2608,3.057098,0.4446858,-3.260834,0.44159
4387,296.9429,303.2608,3.057098,0.446245,-3.260834,0.4399271
4438,303.2608,296.9429,-3.260834,0.438264,3.057098,0.4478041
4489,296.9429,303.2608,3.057098,0.4461411,-3.260834,0.4398231
4540,303.2608,296.9429,-3.260834,0.4381601,3.057098,0.4477001
4591,296.9429,303.2608,3.057098,0.4460371,-3.260834,0.4397192
4642,303.2608,296.9429,-3.260834,0.4380562,3.057098,0.4475962
4693,296.9429,296.9429,3.057098,0.4459332,3.057098,0.4491553
4744,303.2608,296.9429,-3.260834,0.4379523,3.057098,0.4507144
4795,303.2608,303.2608,-3.260834,0.4362893,-3.260834,0.4427335
4847,303.6253,309.8217,-3.625336,0.4340395,-9.821747,0.4310653
4898,290.625,290.625,9.375031,0.4518212,9.375031,0.4550433
4949,296.9429,296.9429,3.057098,0.4470624,3.057098,0.4502845
5000,303.2608,303.2608,-3.260834,0.4390814,-3.260834,0.4423036
5051,303.2608,303.2608,-3.260834,0.4374184,-3.260834,0.4406405
5102,296.9429,296.9429,3.057098,0.4452954,3.057098,0.4485176
5153,296.9429,303.2608,3.057098,0.4468545,-3.260834,0.4405366
5204,303.2608,296.9429,-3.260834,0.4388736,3.057098,0.4484137
5255,303.2608,296.9429,-3.260834,0.4372106,3.057098,0.4499727
5306,296.9429,303.2608,3.057098,0.4450876,-3.260834,0.4419918
5357,296.9429,296.9429,3.057098,0.4466467,3.057098,0.4498688
5408,296.9429,296.9429,3.057098,0.4482059,3.057098,0.4514279
5459,303.2608,303.2608,-3.260834,0.4402249,-3.260834,0.443447
5510,296.9429,303.2608,3.057098,0.4481019,-3.260834,0.441784
5561,303.2608,296.9429,-3.260834,0.440121,3.057098,0.449661
5612,296.9429,303.2608,3.057098,0.447998,-3.260834,0.44168
5663,303.2608,296.9429,-3.260834,0.4400171,3.057098,0.4495571
5714,303.2608,303.2608,-3.260834,0.4383541,-3.260834,0.4415761
5765,296.9429,303.2608,3.057098,0.4462311,-3.260834,0.4399132
5816,303.2608,296.9429,-3.260834,0.4382501,3.057098,0.4477902
5867,296.9429,296.9429,3.057098,0.4461271,3.057098,0.4493493
5918,296.9429,303.2608,3.057098,0.4476862,-3.260834,0.4413683
5969,296.9429,296.9429,3.057098,0.4492454,3.057098,0.4492454
6020,303.2608,296.9429,-3.260834,0.4412644,3.057098,0.4508045
6071,303.2608,303.2608,-3.260834,0.4396014,-3.260834,0.4428235
6122,303.2608,303.2608,-3.260834,0.4379384,-3.260834,0.4411605
6173,296.9429,296.9429,3.057098,0.4458154,3.057098,0.4490375
6224,296.9429,296.9429,3.057098,0.4473745,3.057098,0.4505966
6275,303.2608,303.2608,-3.260834,0.4393936,-3.260834,0.4426157
6326,296.9429,303.2608,3.057098,0.4472706,-3.260834,0.4409527
6377,303.2608,296.9429,-3.260834,0.4392897,3.057098,0.4488297
6428,296.9429,303.2608,3.057098,0.4471667,-3.260834,0.4408488
6479,296.9429,296.9429,3.057098,0.4487258,3.057098,0.4487258
6530,303.2608,296.9429,-3.260834,0.4407449,3.057098,0.4502849
6581,303.2608,296.9429,-3.260834,0.4390819,3.057098,0.451844
6632,296.9429,303.2608,3.057098,0.4469589,-3.260834,0.4438631
6683,296.9429,303.2608,3.057098,0.448518,-3.260834,0.4422001
6734,303.2608,296.9429,-3.260834,0.440537,3.057098,0.4500771
6785,296.9429,296.9429,3.057098,0.448414,3.057098,0.4516362
6836,303.2608,303.2608,-3.260834,0.4404331,-3.260834,0.4436553
6887,296.9429,303.2608,3.057098,0.4483101,-3.260834,0.4419922
6938,303.2608,296.9429,-3.260834,0.4403292,3.057098,0.4498693
6989,296.9429,303.2608,3.057098,0.4482062,-3.260834,0.4418883
7040,296.9429,296.9429,3.057098,0.4497653,3.057098,0.4497653
7091,303.2608,303.2608,-3.260834,0.4417844,-3.260834,0.4417844
7142,303.2608,296.9429,-3.260834,0.4401214,3.057098,0.4496614
7193,296.9429,296.9429,3.057098,0.4479984,3.057098,0.4512206
7244,303.2608,296.9429,-3.260834,0.4400175,3.057098,0.4527797
7295,296.9429,303.2608,3.057098,0.4478945,-3.260834,0.4447987
7346,303.2608,303.2608,-3.260834,0.4399136,-3.260834,0.4431357
7397,296.9429,296.9429,3.057098,0.4477906,3.057098,0.4510127
7448,303.2608,303.2608,-3.260834,0.4398097,-3.260834,0.4430318
7499,296.9429,296.9429,3.057098,0.4476867,3.057098,0.4509088
7550,296.9429,303.2608,3.057098,0.4492458,-3.260834,0.4429279
7601,303.2608,296.9429,-3.260834,0.4412648,3.057098,0.4508049
7652,296.9429,303.2608,3.057098,0.4491419,-3.260834,0.4428239
7703,303.2608,296.9429,-3.260834,0.441161,3.057098,0.450701
7754,303.2608,296.9429,-3.260834,0.4394979,3.057098,0.4522601
7805,296.9429,303.2608,3.057098,0.4473749,-3.260834,0.4442791
7856,296.9429,296.9429,3.057098,0.448934,3.057098,0.4521562
7907,303.2608,296.9429,-3.260834,0.4409531,3.057098,0.4537153
7958,296.9429,303.2608,3.057098,0.4488301,-3.260834,0.4457344
8009,296.9429,303.2608,3.057098,0.4503892,-3.260834,0.4440713
8060,303.2608,296.9429,-3.260834,0.4424083,3.057098,0.4519484
8111,303.2608,303.2608,-3.260834,0.4407453,-3.260834,0.4439674
8162,296.9429,296.9429,3.057098,0.4486223,3.057098,0.4518444
8213,296.9429,303.2608,3.057098,0.4501814,-3.260834,0.4438635
8264,303.2608,303.2608,-3.260834,0.4422005,-3.260834,0.4422005
8315,303.2608,296.9429,-3.260834,0.4405375,3.057098,0.4500775
8366,296.9429,296.9429,3.057098,0.4484145,3.057098,0.4516366
8417,303.2608,296.9429,-3.260834,0.4404335,3.057098,0.4531957
8468,296.9429,303.2608,3.057098,0.4483106,-3.260834,0.4452148
8519,296.9429,296.9429,3.057098,0.4498697,3.057098,0.4530918
8570,296.9429,303.2608,3.057098,0.4514288,-3.260834,0.4451108
