ms,l,r,a_x,a_y,g_z
40,1,4,46.46318,44.66176,376.0
108751,16,21,-43.81682,19.77376,5976.0
216567,40,50,-4.776823,14.89376,4436.0
325087,70,81,-1.848823,-28.53824,1636.0
435744,101,115,-2.824823,11.47776,3036.0
543522,133,151,-28.20082,-42.69024,3246.0
652765,168,189,21.08718,40.26976,6116.0
762568,205,230,-7.704823,18.30976,5556.0
869273,243,273,-6.240823,-16.33824,7726.0
980388,286,319,16.20718,-65.13824,3876.0
1089406,330,364,6.935177,-4.13824,446.0
1201395,375,413,-15.51282,-11.45824,5486.0
1311482,420,463,-13.07282,89.06976,2616.0
1421552,466,511,-0.3848228,-50.49824,1776.0
1528791,516,557,21.57518,16.35776,-5924.0
1637310,570,604,6.935177,10.01376,-10754.0
1745223,625,652,10.35118,51.00576,-10194.0
1854743,681,701,-11.12082,-35.85824,-4664.0
1964302,736,752,51.34318,-26.09824,-3754.0
2072919,791,803,-8.192823,41.24576,-8934.0
2182475,849,855,7.423177,27.58176,-5714.0
2292150,908,907,10.83918,-20.24224,-8234.0
2401515,968,962,23.03918,-14.87424,-6484.0
2509460,1028,1016,32.31118,15.38176,-1934.0
2620428,1087,1073,49.39118,-4.13824,-5994.0
2728567,1146,1129,-10.63282,41.73376,-4454.0
2836376,1207,1185,11.81518,-39.76224,-4454.0
2946960,1269,1245,-14.53682,22.21376,1426.0
3056491,1326,1305,49.87918,-41.22624,5276.0
3167014,1381,1367,-10.14482,-45.13024,7936.0
3276557,1439,1430,40.60718,23.67776,4506.0
3384375,1496,1493,-17.46482,-48.54624,5906.0
3493175,1554,1556,-17.95282,112.9818,8846.0
3603480,1612,1621,21.08718,-80.75424,4226.0
3714127,1672,1688,31.82318,98.34176,3526.0
3824721,1733,1753,-19.41682,85.16576,-814.0
3932906,1796,1814,51.83118,-21.21824,-1514.0
4043760,1850,1880,-55.04082,-100.7622,20606.0
4153390,1797,1976,-32.59282,-96.37024,148076.0
4264050,1690,2113,-101.4008,43.68576,212266.0
4375044,1560,2276,-66.26482,73.45376,251186.0
4485199,1420,2455,-78.46482,-211.5382,269316.0
4594752,1283,2644,-150.6888,-224.7142,294166.0
4704290,1145,2842,-84.80882,-133.4582,312646.0
4814824,1004,3049,-135.0728,-109.0582,314046.0
4925427,863,3260,-184.8488,-274.9782,335746.0
5033750,743,3470,-204.8568,-33.90624,346316.0
5144719,610,3691,-127.2648,-121.7462,332876.0
5255057,485,3907,-166.3048,-89.53825,363676.0
5364862,356,4119,-160.9368,-85.63424,333506.0
5475441,217,4335,-167.2808,-129.5542,326856.0
5585994,74,4552,-94.08083,-110.0342,308096.0
5695530,-65,4764,-155.5688,-268.6342,326436.0
5805077,-200,4976,-21.85682,-72.94624,304876.0
5915701,-346,5191,-172.6488,-174.9382,295986.0
6024418,-484,5406,-115.0648,-88.07424,314116.0
6133859,-615,5616,-120.4328,-268.6342,340086.0
6243507,-741,5829,-195.0968,-123.6982,338056.0
6353218,-866,6046,-125.3128,-261.3142,372006.0
6463508,-992,6265,-98.96082,-126.1382,371866.0
6570437,-1126,6482,-200.9528,-56.84224,344916.0
6680763,-1266,6701,-119.9448,-141.7542,332946.0
6791457,-1411,6921,-182.4088,-7.06624,310266.0
6898302,-1546,7131,-95.05682,-176.4022,322796.0
7007772,-1687,7346,-171.1848,27.09376,302566.0
7117288,-1826,7561,-162.8888,-182.2582,330496.0
7239953,-1961,7800,-98.47282,-117.8422,354156.0
7349101,-2088,8016,-188.2648,-134.4342,358286.0
7458603,-2211,8236,-155.0808,-161.7622,364516.0
7567440,-2344,8453,-220.9608,-163.2262,348696.0
7677024,-2482,8669,-166.7928,-17.80224,335606.0
7786593,-2624,8887,-129.2168,-74.41024,321186.0
7896087,-2763,9103,-180.4568,-20.73024,326226.0
8004915,-2903,9321,-152.1528,-114.4262,324056.0
8115090,-3044,9538,-141.4168,-53.91424,309846.0
