ms,l,r,a_x,a_y,g_z
8225037,-3184,9756,-261.4648,-26.09824,331266.0
8334573,-3302,9970,-171.1848,-136.8742,355066.0
8444090,-3428,10186,-143.3688,-73.43424,346526.0
8554420,-3561,10406,-50.16082,-76.36224,350166.0
8662286,-3688,10621,-129.2168,-84.17024,341906.0
8772029,-3824,10838,-138.0008,-109.5462,331966.0
8881527,-3961,11054,-107.7448,-131.5062,331406.0
8988254,-4098,11269,-112.1368,-191.0423,327416.0
9099838,-4166,11416,176.2712,-198.8503,91166.0
9208348,-4142,11458,71.83918,-17.31424,-3824.0
9316258,-4113,11487,21.57518,72.47776,-2844.0
9425762,-4082,11518,33.28718,-70.01824,-254.0
9535263,-4050,11550,27.91918,4.15776,1706.0
9643479,-4015,11585,-9.656823,35.38976,1006.0
9752409,-3978,11622,4.007177,2.20576,1216.0
9860218,-3940,11662,-11.12082,-41.22624,2756.0
9968914,-3895,11701,46.95118,31.97376,-11034.0
10078403,-3846,11739,-1.360823,-4.13824,-12434.0
10186265,-3796,11777,23.52718,-6.57824,-8864.0
10295858,-3748,11819,32.79918,29.04576,-1234.0
10405279,-3701,11866,-6.240823,-54.40224,26.0
10513920,-3654,11913,37.67918,-16.33824,586.0
10622700,-3605,11961,30.84718,-1.69824,-5084.0
10733023,-3549,12004,2.543177,35.38976,-15374.0
10840168,-3495,12050,5.959177,1.71776,-5504.0
10948534,-3441,12098,21.57518,-7.06624,586.0
11056342,-3388,12151,46.46318,-29.51424,1566.0
11165876,-3335,12206,2.543177,32.46176,-3474.0
11275108,-3279,12260,72.81518,-20.73024,-5224.0
11382375,-3221,12312,-33.08082,-21.70624,-10964.0
11488903,-3163,12364,44.02318,37.34176,-744.0
11597401,-3107,12419,44.99918,1.71776,-324.0
11705301,-3052,12476,-60.40882,4.15776,3526.0
11813762,-2995,12533,19.13518,-57.81824,-1794.0
11921409,-2934,12590,9.375177,77.35776,-9704.0
12030073,-2872,12646,16.69518,-35.85824,866.0
12137260,-2813,12707,10.35118,73.45376,4506.0
12246368,-2754,12768,-16.00082,-73.92224,2126.0
12355059,-2694,12830,39.14318,85.16576,3036.0
12464774,-2631,12887,9.863177,-104.6662,-12574.0
12574361,-2566,12944,41.58318,41.73376,-5014.0
12683915,-2504,13006,-19.90482,-50.49824,2196.0
12791699,-2443,13067,-1.360823,52.95776,1636.0
12901111,-2379,13126,73.79118,-58.79424,-12434.0
