42,1,1,21.48042,-24.10272,78.04596
110237,14,14,46.36842,57.88128,1058.046
220683,40,40,-4.383583,13.47328,-2021.954
331258,70,70,6.352416,-34.83872,-201.954
439100,101,101,-23.90358,-20.19872,4558.046
547620,134,134,-3.895583,21.28128,7918.046
656334,168,168,-9.263583,48.12128,4978.046
766133,204,204,-43.42358,32.99328,7428.046
876529,243,244,14.64842,3.22528,-2371.954
986922,287,288,22.45642,-31.91072,-5871.954
1096694,334,334,-23.90358,38.84928,-8811.954
1206365,384,384,-10.23958,35.92128,-3911.954
1316584,433,433,-3.407583,-30.93472,-5031.954
1425256,482,482,16.11242,26.16128,-2931.954
1537574,533,533,-10.23958,3.71328,-4891.954
1646120,585,585,28.31242,41.28928,-7411.954
1756178,641,641,11.23242,-8.974721,-10421.95
1865542,698,698,10.74442,-27.51872,-4261.954
1975644,753,753,18.06442,19.32928,-13571.95
2083015,807,807,-18.04758,8.59328,-1251.954
2191538,862,862,-94.66359,76.42529,988.046
2300451,918,918,45.39242,35.92128,-4191.954
2409967,975,975,-5.359583,67.64128,1128.046
2519646,1031,1031,11.72042,9.08128,4768.046
2629020,1084,1084,-59.52758,42.75328,11908.05
2739642,1136,1137,55.64042,7.12928,5608.046
2859353,1198,1198,-42.93559,21.28128,6728.046
2967291,1256,1256,120.5444,-86.56672,-15321.95
3077163,1317,1317,-127.3596,-17.27072,4418.046
3186646,1375,1375,2.936418,68.61728,5188.046
3297223,1432,1432,3.912417,-11.41472,4488.046
3407444,1494,1494,20.50442,-5.558721,-5241.954
3518332,1556,1556,-80.51159,-4.09472,4208.046
3627135,1616,1616,2.448417,81.30528,7988.046
3737376,1672,1673,27.33642,36.89728,3298.046
3847099,1729,1729,16.60042,17.86528,7288.046
3956810,1790,1791,12.20842,113.5133,-3491.954
4063499,1827,1826,-157.1276,-141.7107,76378.05
4174168,1764,1763,-128.8236,-147.5667,188308.0
4283663,1668,1668,-167.8636,-120.2387,280288.0
4395392,1546,1546,-103.9356,-109.0147,295618.0
4504960,1412,1412,-74.16759,-67.53472,315218.0
4611549,1274,1274,-135.1676,-212.4707,312768.0
4721084,1131,1131,-96.61559,-104.6227,317458.0
4830619,991,990,-132.2396,-124.6307,326628.0
4941134,859,858,-201.0476,-213.4467,345808.0
5051798,727,726,-163.4716,-74.85472,334048.0
5159607,589,589,-119.5516,-183.6787,322778.0
5269127,447,446,-40.49558,70.56928,305278.0
5379684,300,299,-181.0396,-245.1667,332998.0
5490248,174,173,-85.39159,-100.2307,360788.0
5599756,37,36,-76.11958,-123.1667,329078.0
5708296,-105,-105,-159.0796,-79.24672,314308.0
5818116,-252,-253,-158.1036,-138.2947,309968.0
5927670,-386,-386,-111.2556,-150.0067,335378.0
6038246,-515,-515,-140.0476,42.26528,335448.0
6148811,-648,-648,-165.4236,-57.28672,324038.0
6259348,-784,-785,-165.9116,-126.0947,331948.0
6368877,-922,-922,-89.29559,-147.0787,332788.0
6477420,-1060,-1060,-137.1196,-112.4307,314518.0
6587087,-1189,-1189,-94.17559,-126.5827,348398.0
6696806,-1325,-1325,-203.4876,-128.0467,326278.0
6806399,-1465,-1465,-244.4796,-276.8867,323128.0
6916997,-1600,-1600,-55.62358,-37.76672,323618.0
7023648,-1738,-1738,-242.0396,-265.1747,307028.0
7134239,-1864,-1864,-227.8876,-78.27072,345808.0
7241993,-1989,-1989,-258.6316,-139.7587,339648.0
7351536,-2119,-2119,-281.0796,-0.1907206,326418.0
7461071,-2256,-2256,-158.1036,-87.54272,315778.0
7570550,-2393,-2393,-227.3996,-261.2707,345038.0
7679426,-2517,-2517,-152.2476,-60.21473,356518.0
7808310,-2674,-2674,-63.43158,-96.81472,326768.0
7917790,-2815,-2815,-114.6716,-117.3107,313048.0
8028372,-2959,-2960,-180.5516,-107.5507,294008.0
8137883,-3085,-3085,-98.07959,-52.89472,315218.0
8248343,-3213,-3213,-115.1596,-361.7987,327608.0
8359086,-3338,-3338,-171.7676,-65.09472,315708.0
8466579,-3470,-3470,-182.5036,1.27328,306608.0
8576414,-3606,-3606,-209.3436,-266.6387,290998.0
8686187,-3740,-3740,-252.2876,-211.9827,325928.0
8797486,-3860,-3860,-165.9116,-87.54272,345598.0
8906954,-3987,-3987,-68.31158,-135.3667,337968.0
9017353,-4122,-4122,-157.1276,-184.1667,328798.0
9126118,-4137,-4137,32.21642,-180.7507,30108.05
9235735,-4111,-4111,-2.919583,-47.03872,3438.046
9345466,-4084,-4084,17.57642,56.41728,2808.046
9455545,-4054,-4054,-7.799583,1.27328,-1111.954
9562993,-4021,-4021,-3.895583,-20.19872,78.04596
9672270,-3986,-3986,-0.9675837,28.11328,-1391.954
9781799,-3949,-3948,-5.359583,6.15328,-2791.954
9892401,-3909,-3909,3.912417,-32.39872,-2581.954
10003010,-3868,-3868,29.28842,26.16128,-3911.954
10114548,-3823,-3823,32.21642,-53.87072,-7621.954
10225022,-3777,-3777,-4.383583,-76.80672,-4401.954
10335077,-3731,-3731,-7.311584,-24.59072,-271.954
10442408,-3684,-3684,13.18442,41.28928,-6151.954
10551970,-3633,-3633,8.304418,37.87328,-10141.95
